Champion,Role,early_game,mid_game,late_game,Magic Dmg,Physical Dmg
Aatrox,Dive,0,1,0,0,1
Ahri,Pick,0,1,0,1,0
Akali,Pick,0,1,0,1,0
Akshan,Damage,0,0,1,0,1
Alistar,Tank,0,1,0,0,0
Amumu,Engage,1,0,0,0,0
Anivia,Poke,0,0,1,1,0
Annie,Engage,0,1,0,1,0
Aphelios,Damage,0,0,1,0,1
Ashe,Engage,0,1,0,0,1
Aurelion Sol,Damage,0,1,0,1,0
Azir,Damage,0,0,1,1,0
Bard,Pick,1,0,0,0,0
Bel'Veth,Damage,0,0,1,0,1
Blitzcrank,Pick,1,0,0,0,0
Brand,Damage,0,0,1,1,0
Braum,Tank,0,0,1,0,0
Caitlyn,Poke,1,0,0,0,1
Camille,Splitpush,0,0,1,0,1
Cassiopeia,Damage,0,0,1,1,0
Cho'Gath,Tank,0,0,1,0,0
Corki,Poke,0,0,1,1,0
Darius,Dive,0,1,0,0,1
Diana,Dive,0,1,0,1,0
Dr. Mundo,Tank,0,0,1,0,0
Draven,Damage,1,0,0,0,1
Ekko,Poke,0,1,0,1,0
Elise,Pick,1,0,0,1,0
Evelynn,Pick,0,1,0,1,0
Ezreal,Poke,0,0,1,0,1
Fiddlesticks,Dive,0,1,0,1,0
Fiora,Splitpush,0,0,1,0,1
Fizz,Dive,0,1,0,1,0
Galio,Tank,0,1,0,1,0
Gangplank,Splitpush,0,0,1,0,1
Garen,Dive,0,1,0,0,1
Gnar,Engage,1,0,0,0,1
Gragas,Tank,0,1,0,1,0
Graves,Damage,0,0,1,0,1
Gwen,Damage,0,0,1,1,0
Hecarim,Engage,0,1,0,0,1
Heimerdinger,Poke,0,1,0,1,0
Illaoi,Splitpush,1,0,0,0,1
Irelia,Dive,0,1,0,0,1
Ivern,Enchanter,0,0,1,0,0
Janna,Enchanter,0,0,1,0,0
Jarvan IV,Engage,1,0,0,0,1
Jax,Splitpush,0,1,0,0,1
Jayce,Poke,0,1,0,0,1
Jhin,Poke,1,0,0,0,1
Jinx,Damage,0,0,1,0,1
Kai'Sa,Damage,0,1,0,0,1
Kalista,Damage,1,0,0,0,1
Karma,Enchanter,1,0,0,1,0
Karthus,Damage,0,0,1,1,0
Kassadin,Damage,0,0,1,1,0
Katarina,Damage,0,1,0,1,0
Kayle,Damage,0,0,1,0,1
Kayn,Dive,0,1,0,0,1
Kennen,Dive,0,0,1,1,0
Kha'Zix,Dive,1,0,0,0,1
Kindred,Damage,0,0,1,0,1
Kled,Pick,0,1,0,0,1
Kog'Maw,Damage,0,0,1,0,1
LeBlanc,Poke,1,0,0,1,0
Lee Sin,Pick,1,0,0,0,1
Leona,Engage,0,1,0,0,0
Lillia,Engage,0,1,0,1,0
Lissandra,Engage,0,1,0,1,0
Lucian,Damage,1,0,0,0,1
Lulu,Enchanter,0,0,1,0,0
Lux,Poke,0,1,0,1,0
Malphite,Engage,0,0,1,0,0
Malzahar,Pick,0,1,0,1,0
Maokai,Engage,0,1,0,0,0
Master Yi,Damage,0,0,1,0,1
Miss Fortune,Damage,0,1,0,0,1
Mordekaiser,Splitpush,1,0,0,1,0
Morgana,Enchanter,0,1,0,1,0
Nami,Enchanter,1,0,0,0,0
Nasus,Splitpush,0,0,1,0,1
Nautilus,Engage,0,1,0,0,0
Neeko,Engage,0,1,0,1,0
Nidalee,Poke,1,0,0,1,0
Nilah,Damage,0,0,1,0,1
Nocturne,Dive,1,0,0,0,1
Nunu & Willump,Engage,0,1,0,0,0
Olaf,Dive,1,0,0,0,1
Orianna,Damage,0,0,1,1,0
Ornn,Tank,0,0,1,0,0
Pantheon,Pick,1,0,0,0,1
Poppy,Tank,0,1,0,0,0
Pyke,Engage,1,0,0,0,1
Qiyana,Damage,0,1,0,0,1
Quinn,Splitpush,1,0,0,0,1
Rakan,Engage,0,0,1,0,0
Rammus,Tank,0,0,1,0,0
Rek'Sai,Engage,1,0,0,0,1
Rell,Engage,0,1,0,0,0
Renata Glasc,Enchanter,0,0,1,0,0
Renekton,Dive,1,0,0,0,1
Rengar,Dive,1,0,0,0,1
Riven,Splitpush,0,1,0,0,1
Rumble,Damage,1,0,0,1,0
Ryze,Pick,0,1,0,1,0
Samira,Damage,0,0,1,0,1
Sejuani,Tank,0,1,0,0,0
Senna,Poke,0,0,1,0,1
Seraphine,Enchanter,0,0,1,1,0
Sett,Dive,1,0,0,0,1
Shaco,Poke,1,0,0,1,0
Shen,Tank,0,1,0,0,0
Shyvana,Tank,0,1,0,0,1
Singed,Tank,0,0,1,1,0
Sion,Tank,0,0,1,0,0
Sivir,Damage,0,0,1,0,1
Skarner,Engage,0,1,0,0,0
Sona,Enchanter,0,1,0,0,0
Soraka,Enchanter,0,0,1,0,0
Swain,Dive,0,1,0,1,0
Sylas,Dive,0,1,0,1,0
Syndra,Damage,0,0,1,1,0
Tahm Kench,Tank,0,0,1,0,0
Taliyah,Pick,0,1,0,1,0
Talon,Pick,1,0,0,0,1
Taric,Enchanter,0,0,1,0,0
Teemo,Splitpush,0,1,0,1,0
Thresh,Engage,0,1,0,0,0
Tristana,Damage,0,1,0,0,1
Trundle,Tank,1,0,0,0,1
Tryndamere,Splitpush,0,1,0,0,1
Twisted Fate,Pick,1,0,0,1,0
Twitch,Damage,0,0,1,0,1
Udyr,Dive,1,0,0,0,1
Urgot,Tank,0,1,0,0,1
Varus,Poke,0,1,0,0,1
Vayne,Damage,0,0,1,0,1
Veigar,Pick,0,0,1,1,0
Vel'Koz,Poke,1,0,0,1,0
Vex,Engage,0,1,0,1,0
Vi,Engage,0,1,0,0,1
Viego,Damage,0,1,0,0,1
Viktor,Damage,0,0,1,1,0
Vladimir,Damage,0,0,1,1,0
Volibear,Tank,1,0,0,0,1
Warwick,Dive,1,0,0,0,1
Wukong,Engage,1,0,0,0,1
Xayah,Damage,0,0,1,0,1
Xerath,Poke,0,1,0,1,0
Xin Zhao,Tank,1,0,0,0,1
Yasuo,Damage,0,1,0,0,1
Yone,Damage,0,1,0,0,1
Yorick,Splitpush,0,1,0,0,1
Yuumi,Enchanter,0,0,1,0,0
Zac,Tank,0,1,0,0,0
Zed,Pick,0,1,0,0,1
Zeri,Poke,0,0,1,0,1
Ziggs,Splitpush,0,1,0,1,0
Zilean,Enchanter,0,0,1,1,0
Zoe,Poke,0,1,0,1,0
Zyra,Damage,1,0,0,1,0